mojoTitle, rtTitle, year, found, rtID
"A Place Called Chiapas",A Place Called Chiapas,1998,True,19113
"The Swindle",,1998,False,
"Passion in the Desert",,1998,False,
"The Land Girls",,1998,False,
"Picnic at Hanging Rock (Re-issue)",,1998,False,
"Still Breathing",,1998,False,
"Insomnia (1998)",,1998,False,
"No Looking Back",No Looking Back,1998,True,15914
"Niagara  Niagara",,1998,False,
"I Married a Strange Person!",,1998,False,
"Ayn Rand: A Sense of Life",,1998,False,
"Beyond Silence",,1998,False,
"Chairman of the Board",Chairman of the Board,1998,True,12389
"The Hi-Lo Country",The Hi-Lo Country,1998,True,16307
"Fallen Angels",,1998,False,
"The Proposition (1998)",The Proposition,1998,True,770681071
"Six-String Samurai",Six-String Samurai,1998,True,11008
"Les Couloirs du Temps: Les Visiteurs 2",Les couloirs du temps: Les visiteurs 2,1998,True,770809743
"Under the Skin",,1998,False,
"The Night Flier",The Night Flier,1998,True,13591
"The Beyond (re-issue)",,1998,False,
"Sour Grapes",Sour Grapes,1998,True,14856
"Music from Another Room",Music From Another Room,1998,True,11267
"Lawn Dogs",,1998,False,
"Shattered Image",Shattered Image,1998,True,770930902
"Little Men",Louisa May Alcott's Little Men,1998,True,770680065
"I Love You  Don't Touch Me",,1998,False,
"Un air de famille",,1998,False,
"The Brandon Teena Story",The Brandon Teena Story,1998,True,19740
"Young Girls of Rochefort (Re-issue)",,1998,False,
"Twentyfourseven",,1998,False,
"The Real Blonde",,1998,False,
"Slappy and the Stinkers",Slappy and the Stinkers,1998,True,12527
"Seventh Heaven",,1998,False,
"Genealogies of a Crime",,1998,False,
"Homegrown",Homegrown,1998,True,14063
"The Theory of Flight",The Theory of Flight,1998,True,770673460
"Plump Fiction",Plump Fiction,1998,True,16546
"The Mirror",En el espejo del cielo (In the Mirror of the Sky),1998,True,770807782
"The Alarmist",The Alarmist,1998,True,770718880
"Sonatine",,1998,False,
"The Big Chill (re-issue)",,1998,False,
"The Only Thrill",,1998,False,
